entity_id	total_population	male	female
LG-13002	30158.0	14261.0	15897.0
LG-13003	109236.0	52959.0	56277.0
LG-13004	157351.0	76550.0	80801.0
LG-13005	9909.0	4672.0	5237.0
LG-13006	64600.0	31276.0	33324.0
LG-13007	34381.0	16629.0	17752.0
LG-13008	52176.0	25345.0	26831.0
LG-13009	127280.0	61721.0	65559.0
LG-13010	32417.0	15546.0	16871.0
LG-13011	127176.0	62000.0	65176.0
LG-13012	37793.0	18599.0	19194.0
LG-13013	63960.0	30844.0	33116.0
LG-13014	81286.0	39257.0	42029.0
LG-13015	36669.0	17498.0	19171.0
LG-13016	50801.0	24977.0	25824.0
LG-13017	54628.0	26301.0	28327.0
LG-21001	67628.0	32457.0	35171.0
LG-21002	57914.0	27327.0	30587.0
LG-21003	63397.0	29940.0	33457.0
LG-21004	68711.0	32489.0	36222.0
LG-21005	15768.0	7504.0	8264.0
LG-21006	108482.0	52587.0	55895.0
LG-21007	26294.0	12213.0	14081.0
LG-21008	22505.0	11040.0	11465.0
LG-21009	51883.0	25468.0	26415.0
LG-21010	61034.0	28852.0	32182.0
LG-21011	127070.0	60589.0	66481.0
LG-21012	56061.0	26442.0	29619.0
LG-21013	86441.0	40949.0	45492.0
LG-21014	86434.0	41217.0	45217.0
LG-21015	19593.0	9704.0	9889.0
LG-21016	110905.0	53554.0	57351.0
LG-21017	103687.0	49595.0	54092.0
LG-21018	88533.0	42209.0	46324.0
LG-21019	37871.0	17528.0	20343.0
LG-21020	55254.0	26539.0	28715.0
LG-21021	38981.0	17865.0	21116.0
LG-21022	20936.0	9723.0	11213.0
LG-22001	70042.0	33619.0	36423.0
LG-22002	48492.0	24299.0	24193.0
LG-22003	23814.0	12008.0	11806.0
LG-22004	30884.0	15088.0	15796.0
LG-22005	29565.0	14022.0	15543.0
LG-22006	30242.0	14496.0	15746.0
LG-22007	42944.0	20503.0	22441.0
LG-22008	31920.0	15047.0	16873.0
LG-22009	15643.0	7324.0	8319.0
LG-22010	12533.0	6432.0	6101.0
LG-22011	29071.0	14467.0	14604.0
LG-22012	51354.0	24239.0	27115.0
LG-22013	68027.0	32113.0	35914.0
LG-23001	101180.0	48527.0	52653.0
LG-23002	88528.0	42156.0	46372.0
LG-23003	104119.0	49878.0	54241.0
LG-23004	51369.0	24284.0	27085.0
LG-23005	59596.0	28682.0	30914.0
LG-23006	86839.0	42462.0	44377.0
LG-23007	7076.0	3525.0	3551.0
LG-23008	7214.0	3385.0	3829.0
LG-23009	86405.0	40633.0	45772.0
LG-23010	44348.0	21088.0	23260.0
LG-23011	3762.0	1737.0	2025.0
LG-23012	71208.0	33990.0	37218.0
LG-31001	49975.0	24084.0	25891.0
LG-31002	67432.0	31977.0	35455.0
LG-31003	62498.0	30175.0	32323.0
LG-31004	64726.0	31068.0	33658.0
LG-31005	35574.0	17279.0	18295.0
LG-31006	32609.0	15957.0	16652.0
LG-31007	28640.0	14394.0	14246.0
LG-31008	53829.0	25936.0	27893.0
LG-31009	75008.0	35757.0	39251.0
LG-31010	29347.0	13988.0	15359.0
LG-31011	19990.0	9434.0	10556.0
LG-31012	58726.0	28129.0	30597.0
LG-31013	74834.0	36184.0	38650.0
LG-31014	27075.0	12920.0	14155.0
LG-31015	65747.0	31235.0	34512.0
LG-31016	86333.0	41424.0	44909.0
LG-31017	77776.0	36906.0	40870.0
LG-31018	45946.0	22173.0	23773.0
LG-31019	44880.0	21289.0	23591.0
LG-31020	62389.0	29593.0	32796.0
LG-32001	51186.0	25038.0	26148.0
LG-32002	63255.0	30913.0	32342.0
LG-32003	59160.0	28796.0	30364.0
LG-32004	50261.0	24116.0	26145.0
