entity_id	total_population	male	female
LK-1109160	4287.0	2041.0	2246.0
LK-1109165	3087.0	1544.0	1543.0
LK-1109170	2568.0	1314.0	1254.0
LK-1109175	2465.0	1171.0	1294.0
LK-1109180	2001.0	979.0	1022.0
LK-1109185	7582.0	3761.0	3821.0
LK-1109190	7422.0	3572.0	3850.0
LK-1109195	6238.0	3116.0	3122.0
LK-1109200	4501.0	2165.0	2336.0
LK-1109205	5799.0	2783.0	3016.0
LK-1109210	3027.0	1458.0	1569.0
LK-1109215	3149.0	1553.0	1596.0
LK-1109220	5113.0	2548.0	2565.0
